Time (s)	Throttle (u)	Thrust (N)
6.0460	430	-0.094848
6.0580	477	-0.021276
6.0700	526	0.078779
6.0810	576	0.209943
6.0930	627	0.379144
6.1050	677	0.564593
6.1170	727	0.763876
6.1280	774	0.985507
6.1400	818	1.233532
6.1520	859	1.493200
6.1640	896	1.749718
6.1750	928	2.012448
6.1880	954	2.274866
6.1990	975	2.536859
6.2110	989	2.791476
6.2220	997	3.024684
6.2350	998	3.236124
6.2460	992	3.407494
6.2570	980	3.535171
6.2700	961	3.615872
6.2810	936	3.659340
6.2930	905	3.662446
6.3040	869	3.634131
6.3170	827	3.551396
6.3280	782	3.419450
6.3400	734	3.255031
6.3510	683	3.064331
6.3640	631	2.854701
6.3750	578	2.626253
6.3870	525	2.362204
6.3990	473	2.093216
6.4110	424	1.820474
6.4220	377	1.538144
6.4340	335	1.270586
6.4460	297	1.024371
6.4580	265	0.786582
6.4690	239	0.567185
6.4810	219	0.366920
6.4930	206	0.208267
6.5040	201	0.079583
6.5160	203	-0.031445
6.5290	212	-0.109910
6.5400	228	-0.158496
6.5510	251	-0.196534
6.5630	281	-0.216692
6.5750	317	-0.204400
6.5870	359	-0.178945
6.5980	405	-0.139746
6.6110	454	-0.082668
6.6220	507	0.002101
6.6340	562	0.120951
6.6450	617	0.277592
6.6580	672	0.454616
6.6690	726	0.656200
6.6810	777	0.900560
6.6920	825	1.159625
6.7050	869	1.435228
6.7160	907	1.713379
6.7280	940	1.996335
6.7400	966	2.279648
6.7520	984	2.554447
6.7630	995	2.814138
6.7740	998	3.070476
6.7870	994	3.283928
6.7980	981	3.443475
6.8100	960	3.557341
6.8210	932	3.633036
6.8340	898	3.652390
6.8450	857	3.619403
6.8570	811	3.530456
6.8690	760	3.389950
6.8810	706	3.205239
6.8920	650	2.989485
6.9040	592	2.747852
6.9160	535	2.505503
6.9280	479	2.241030
6.9390	425	1.953470
6.9510	375	1.653999
6.9630	330	1.348985
6.9750	290	1.059883
6.9860	257	0.808282
6.9990	231	0.580014
7.0100	212	0.374898
7.0210	202	0.209094
7.0330	201	0.076209
7.0450	208	-0.036495
7.0570	224	-0.120750
7.0680	248	-0.172241
7.0810	279	-0.198299
7.0920	318	-0.199394
7.1040	363	-0.187259
7.1150	413	-0.155680
7.1280	467	-0.087182
7.1390	525	0.014772
7.1510	584	0.144171
7.1620	643	0.313730
7.1750	702	0.510018
7.1860	759	0.738264
7.1980	812	0.988524
7.2100	860	1.256484
7.2220	902	1.545452
7.2330	938	1.852678
7.2450	966	2.163480
7.2570	986	2.463778
7.2690	996	2.743337
7.2800	998	3.005509
7.2910	990	3.233241
7.3040	974	3.403471
7.3150	948	3.528176
7.3270	915	3.600340
7.3390	874	3.608676
7.3510	826	3.553139
7.3620	773	3.442827
7.3740	716	3.273000
7.3860	656	3.063235
7.3980	595	2.825983
7.4090	533	2.573041
7.4220	473	2.295538
7.4330	416	1.977562
7.4450	364	1.656457
7.4560	316	1.338146
7.4690	276	1.045781
7.4800	244	0.779319
7.4920	220	0.544993
7.5030	205	0.339274
7.5160	201	0.166050
7.5270	205	0.033657
7.5380	220	-0.063537
7.5510	244	-0.146361
7.5630	277	-0.187751
7.5740	318	-0.191751
7.5850	366	-0.176286
7.5980	420	-0.139008
7.6090	479	-0.075650
7.6210	541	0.017901
7.6320	604	0.154161
7.6450	668	0.324949
7.6560	729	0.530020
7.6680	788	0.786068
7.6800	842	1.060375
7.6920	889	1.352516
7.7030	930	1.667073
7.7150	961	1.993340
7.7270	984	2.319518
7.7390	996	2.624040
7.7500	998	2.904314
7.7630	990	3.154373
7.7740	971	3.349275
7.7860	943	3.487546
7.7970	905	3.566996
7.8090	859	3.572180
7.8210	806	3.508398
7.8320	748	3.397772
7.8440	686	3.217262
7.8560	621	2.989440
7.8680	556	2.738532
7.8790	491	2.456426
7.8920	430	2.146540
7.9030	373	1.814171
7.9150	322	1.466114
7.9260	278	1.152563
7.9390	244	0.864780
7.9500	219	0.605715
7.9620	204	0.376328
7.9730	201	0.196534
7.9860	208	0.049212
7.9970	227	-0.053883
8.0090	255	-0.134583
8.0210	294	-0.183214
8.0330	341	-0.189494
8.0440	395	-0.168307
8.0560	456	-0.118381
8.0680	520	-0.044027
8.0790	587	0.081707
8.0910	654	0.240270
8.1020	720	0.439061
8.1150	782	0.684873
8.1260	840	0.958845
8.1380	890	1.264127
8.1500	932	1.593836
8.1620	965	1.932105
8.1730	987	2.258842
8.1850	997	2.578539
8.1970	997	2.882994
8.2090	984	3.148808
8.2200	960	3.345767
8.2330	926	3.479680
8.2440	881	3.546122
8.2560	829	3.529182
8.2670	769	3.446939
8.2800	705	3.298835
8.2910	637	3.084109
8.3030	568	2.824195
8.3140	500	2.537015
8.3270	434	2.224045
8.3380	374	1.886335
8.3490	320	1.541831
8.3620	275	1.210245
8.3730	239	0.901722
8.3850	215	0.626454
8.3960	202	0.388486
8.4090	202	0.199819
8.4200	214	0.044608
8.4320	237	-0.071314
8.4430	272	-0.136349
8.4560	317	-0.171727
8.4670	371	-0.180644
8.4790	433	-0.138181
8.4910	499	-0.081193
8.5030	569	0.017208
8.5140	640	0.169157
8.5260	710	0.356013
8.5380	776	0.581355
8.5500	837	0.852108
8.5610	890	1.161860
8.5740	934	1.505269
8.5850	967	1.857729
8.5960	989	2.217229
8.6080	998	2.556927
8.6210	994	2.871864
8.6320	978	3.129119
8.6430	949	3.338168
8.6550	909	3.478942
8.6670	858	3.522164
8.6790	800	3.476417
8.6900	734	3.362528
