Time (s)	Throttle (u)	Thrust (N)
4.300	800	3.008995
4.312	800	3.011342
4.324	800	3.012727
4.336	800	3.014694
4.347	800	3.013331
4.359	800	3.009912
4.371	800	3.004213
4.383	800	2.999564
4.394	800	3.003788
4.407	800	3.008615
4.418	800	3.006805
4.430	800	3.001173
4.441	800	3.009375
4.454	800	3.009979
4.465	800	3.005978
4.477	800	2.996838
4.488	800	2.999587
4.501	800	3.002537
4.512	800	3.003296
4.523	800	2.999721
4.536	800	3.006291
4.547	800	3.002872
4.559	800	2.998425
4.570	800	3.005621
4.583	800	2.999832
4.594	800	3.005889
4.606	800	3.003922
4.617	800	3.001687
4.630	800	3.007029
4.641	800	3.004548
4.653	800	3.001397
4.665	800	2.995474
4.677	800	2.999810
4.688	800	3.000637
4.700	800	3.006358
4.712	100	3.007610
4.724	100	2.855349
4.735	100	2.101597
4.748	100	1.292979
4.759	100	0.772994
4.770	100	0.476383
4.782	100	0.312367
4.794	100	0.215128
4.806	100	0.165670
4.817	100	0.128415
4.829	100	0.106625
4.841	100	0.094244
4.853	100	0.076119
4.864	100	0.075583
4.877	100	0.073929
4.888	100	0.066197
4.900	100	0.062621
4.911	100	0.065772
4.924	100	0.061593
4.935	100	0.064878
4.947	100	0.071895
4.958	100	0.073885
4.971	100	0.061056
4.982	100	0.061593
4.994	100	0.070108
5.006	100	0.069437
5.018	100	0.072477
5.029	100	0.075024
5.040	100	0.076969
5.053	100	0.076030
5.064	100	0.069817
5.076	100	0.061816
5.088	100	0.060721
5.100	100	0.067046
5.111	100	0.070041
5.123	100	0.070823
5.135	100	0.076633
5.147	100	0.080813
5.158	100	0.076164
5.170	100	0.073460
5.182	100	0.072007
5.194	100	0.068923
5.205	100	0.061369
5.218	100	0.067403
5.229	100	0.080611
5.241	100	0.077952
5.252	100	0.065884
5.265	100	0.064856
5.276	100	0.067806
5.287	100	0.068007
5.299	100	0.070197
5.311	100	0.072477
5.323	100	0.067381
5.334	100	0.071873
5.347	100	0.072767
5.358	100	0.071091
5.370	100	0.071895
5.381	100	0.069638
5.394	100	0.069527
5.405	100	0.070219
5.417	100	0.063515
5.429	100	0.066867
5.441	100	0.067984
5.452	100	0.061034
5.464	100	0.061459
5.476	100	0.066487
5.488	100	0.070488
5.499	100	0.078578
5.511	100	0.072007
5.523	100	0.063761
5.535	100	0.064096
5.546	100	0.070108
5.559	100	0.072320
5.570	100	0.070219
5.581	100	0.073773
5.593	100	0.081908
5.605	100	0.074443
5.617	100	0.067448
5.628	100	0.070890
5.640	100	0.074555
5.652	100	0.069102
5.664	100	0.065705
5.675	100	0.068633
5.688	100	0.068387
5.699	100	0.073594
5.711	100	0.077013
5.722	100	0.086735
5.735	100	0.078578
5.746	100	0.067359
5.758	100	0.067984
5.769	100	0.069862
5.782	100	0.068364
5.793	100	0.071404
5.804	100	0.066956
5.817	100	0.069862
5.829	100	0.069839
5.840	100	0.075963
5.851	100	0.072901
5.864	100	0.072544
5.875	100	0.070510
5.887	100	0.066845
5.899	100	0.069929
5.911	100	0.069124
5.922	100	0.069795
5.934	100	0.074220
5.946	100	0.068096
5.958	100	0.065750
5.969	100	0.072879
5.981	100	0.071918
5.993	100	0.063962
6.005	100	0.064453
6.016	100	0.068297
6.029	100	0.075203
6.040	100	0.071069
6.052	100	0.066487
6.063	100	0.065705
6.075	100	0.067605
6.087	100	0.066264
6.098	100	0.069951
6.110	100	0.069169
6.122	100	0.071493
6.134	100	0.072030
6.145	100	0.078041
6.158	100	0.076119
6.169	100	0.071828
6.181	100	0.078913
6.192	100	0.078220
6.205	100	0.082958
6.216	100	0.079047
6.228	100	0.070376
6.240	100	0.072432
6.252	100	0.077103
6.263	100	0.075851
6.275	100	0.071113
6.287	100	0.067202
6.299	100	0.069057
6.310	100	0.072588
6.322	100	0.069013
6.334	100	0.069102
6.345	100	0.066353
6.357	100	0.073147
6.369	100	0.074309
6.381	100	0.068499
6.392	100	0.067873
6.404	100	0.073125
